scope,metric,violation_prevalence,expected_gate_minus_broad
pooled_models,constraint_followed,0.4,0.16249999999999998
pooled_models,constraint_followed,0.41000000000000003,0.15953124999999999
pooled_models,constraint_followed,0.42,0.15656250000000002
pooled_models,constraint_followed,0.43,0.15359375000000003
pooled_models,constraint_followed,0.44,0.15062500000000004
pooled_models,constraint_followed,0.45,0.14765625000000002
pooled_models,constraint_followed,0.46,0.1446875
pooled_models,constraint_followed,0.47000000000000003,0.14171875
pooled_models,constraint_followed,0.48,0.13874999999999998
pooled_models,constraint_followed,0.49,0.13578125
pooled_models,constraint_followed,0.5,0.1328125
pooled_models,constraint_followed,0.51,0.12984375
pooled_models,constraint_followed,0.52,0.12687500000000002
pooled_models,constraint_followed,0.53,0.12390624999999998
pooled_models,constraint_followed,0.54,0.12093749999999999
pooled_models,constraint_followed,0.55,0.11796875
pooled_models,constraint_followed,0.56,0.11499999999999999
pooled_models,constraint_followed,0.5700000000000001,0.11203124999999997
pooled_models,constraint_followed,0.58,0.1090625
pooled_models,constraint_followed,0.59,0.10609375000000001
pooled_models,constraint_followed,0.6,0.10312500000000001
pooled_models,constraint_followed,0.61,0.10015625
pooled_models,constraint_followed,0.62,0.0971875
pooled_models,constraint_followed,0.63,0.09421875
pooled_models,constraint_followed,0.64,0.09125
pooled_models,constraint_followed,0.65,0.08828124999999999
pooled_models,constraint_followed,0.66,0.08531249999999999
pooled_models,constraint_followed,0.67,0.08234375
pooled_models,constraint_followed,0.68,0.07937499999999999
pooled_models,constraint_followed,0.6900000000000001,0.07640624999999998
pooled_models,constraint_followed,0.7000000000000001,0.07343749999999998
pooled_models,constraint_followed,0.71,0.07046875000000001
pooled_models,constraint_followed,0.72,0.06750000000000002
pooled_models,constraint_followed,0.73,0.06453125000000001
pooled_models,constraint_followed,0.74,0.06156249999999999
pooled_models,constraint_followed,0.75,0.05859375
pooled_models,constraint_followed,0.76,0.05562500000000001
pooled_models,constraint_followed,0.77,0.052656249999999995
pooled_models,constraint_followed,0.78,0.049687499999999996
pooled_models,constraint_followed,0.79,0.04671874999999999
pooled_models,constraint_followed,0.8,0.04374999999999998
pooled_models,constraint_followed,0.81,0.040781249999999984
pooled_models,constraint_followed,0.8200000000000001,0.037812499999999985
pooled_models,constraint_followed,0.8300000000000001,0.03484374999999998
pooled_models,constraint_followed,0.84,0.031875000000000014
pooled_models,constraint_followed,0.85,0.02890625
pooled_models,constraint_followed,0.86,0.02593750000000001
pooled_models,constraint_followed,0.87,0.022968749999999996
pooled_models,constraint_followed,0.88,0.020000000000000004
pooled_models,constraint_followed,0.89,0.017031249999999998
pooled_models,constraint_followed,0.9,0.014062499999999993
pooled_models,constraint_followed,0.91,0.01109374999999999
pooled_models,constraint_followed,0.92,0.008124999999999988
pooled_models,constraint_followed,0.93,0.0051562499999999855
pooled_models,constraint_followed,0.9400000000000001,0.002187499999999983
pooled_models,constraint_followed,0.9500000000000001,-0.0007812500000000198
pooled_models,constraint_followed,0.96,-0.0037499999999999895
pooled_models,constraint_followed,0.97,-0.006718749999999992
pooled_models,constraint_followed,0.98,-0.009687499999999995
pooled_models,constraint_followed,0.99,-0.012656249999999997
pooled_models,constraint_followed,1.0,-0.015625
