scenario,institution,ablation,seed,cluster_spread,bills_processed,bills_passed,passage_rate,avg_representation_distance,representation_inequality,perfect_representation_rate
fragmented,republican,baseline,6,0.15,30,2,0.06666666666666667,1.1274487039675525,0.4662830122358439,0.047619047619047616
fragmented,republican,baseline,7,0.15,30,2,0.06666666666666667,1.1361856804144332,0.4895930019340532,0.047619047619047616
fragmented,republican,baseline,8,0.15,30,3,0.1,1.16001239287396,0.44949718656043103,0.047619047619047616
fragmented,republican,baseline,9,0.15,30,6,0.2,1.1196825050552934,0.42416116142605464,0.047619047619047616
fragmented,republican,baseline,10,0.15,30,7,0.23333333333333334,1.0919685948733708,0.4830019800385369,0.047619047619047616
fragmented,republican,baseline,11,0.15,30,3,0.1,1.1143390229924468,0.48814189388459106,0.09523809523809523
fragmented,republican,baseline,12,0.15,30,1,0.03333333333333333,1.130246685482935,0.4441511569772045,0.047619047619047616
fragmented,republican,baseline,13,0.15,30,3,0.1,1.1583049268718806,0.4714406203438026,0.09523809523809523
fragmented,republican,baseline,14,0.15,30,5,0.16666666666666666,1.141058568352717,0.43756465314022047,0.047619047619047616
fragmented,republican,baseline,15,0.15,30,5,0.16666666666666666,1.1334797858805792,0.4534431488784677,0.047619047619047616
fragmented,republican,baseline,16,0.15,30,2,0.06666666666666667,1.1378923118653255,0.4589055214600874,0.0
fragmented,republican,baseline,17,0.15,30,9,0.3,1.130196151638621,0.4054582289076424,0.0
fragmented,republican,baseline,18,0.15,30,5,0.16666666666666666,1.1503211729842087,0.4254609674663557,0.047619047619047616
fragmented,republican,baseline,19,0.15,30,5,0.16666666666666666,1.104983925958428,0.4010111754108908,0.0
fragmented,republican,baseline,20,0.15,30,7,0.23333333333333334,1.0951088885669922,0.4054928736339831,0.047619047619047616
fragmented,republican,baseline,21,0.15,30,6,0.2,1.1030328325670566,0.4794889223743657,0.09523809523809523
